kind,width,height,depth,seed,time
lazy,35,35,10,5642576052520863625,0.00029015541076660156
list,35,35,10,1723009292323251641,0.05321693420410156
array,35,35,10,1723009292323251641,0.10653114318847656
lazy,35,35,10,1723009292323251641,0.0002551078796386719
list,35,35,10,6808218593903956257,0.07800602912902832
array,35,35,10,6808218593903956257,0.1499030590057373
lazy,35,35,10,6808218593903956257,0.0003719329833984375
list,35,35,10,6759529700470799311,0.055518150329589844
array,35,35,10,6759529700470799311,0.11174511909484863
lazy,35,35,10,6759529700470799311,0.00025010108947753906
list,35,35,10,4898004855351610578,0.045104026794433594
array,35,35,10,4898004855351610578,0.0906379222869873
lazy,35,35,10,4898004855351610578,0.00022411346435546875
list,35,35,10,6782780175303583378,0.07084107398986816
array,35,35,10,6782780175303583378,0.14907383918762207
lazy,35,35,10,6782780175303583378,0.00035691261291503906
list,35,35,10,5396154357928470559,0.06249594688415527
array,35,35,10,5396154357928470559,0.11397814750671387
lazy,35,35,10,5396154357928470559,0.0002601146697998047
list,35,35,10,1536363813157333146,0.0619659423828125
array,35,35,10,1536363813157333146,0.13114190101623535
lazy,35,35,10,1536363813157333146,0.0002849102020263672
list,35,35,10,1897378425860843589,0.05431199073791504
array,35,35,10,1897378425860843589,0.10891008377075195
lazy,35,35,10,1897378425860843589,0.00026106834411621094

