kind,width,height,depth,num_filled,time
list,55,55,10,226,0.3522820472717285
list,55,55,10,227,0.3555011749267578
list,55,55,10,266,0.4130740165710449
list,55,55,10,248,0.3941230773925781
list,55,55,10,198,0.3094639778137207
list,55,55,10,468,0.713421106338501
list,55,55,10,186,0.31502389907836914
list,55,55,10,182,0.2930319309234619
list,55,55,10,222,0.3486499786376953
list,55,55,10,308,0.48127007484436035
list,55,55,10,264,0.41626596450805664
list,55,55,10,271,0.42024993896484375
list,55,55,10,204,0.3145627975463867
list,55,55,10,172,0.27548813819885254
list,55,55,10,229,0.3608729839324951
list,55,55,10,173,0.2734560966491699
list,55,55,10,354,0.547095775604248
list,55,55,10,269,0.41597890853881836
list,55,55,10,199,0.3154008388519287
list,55,55,10,217,0.35329699516296387
list,55,55,10,211,0.3333780765533447
list,55,55,10,210,0.3346560001373291
list,55,55,10,83,0.13482284545898438
list,55,55,10,233,0.3710908889770508
list,55,55,10,327,0.5080471038818359
list,55,55,100,291,0.45929503440856934
list,55,55,100,167,0.2614598274230957
list,55,55,100,265,0.4202570915222168
list,55,55,100,174,0.27779626846313477
list,55,55,100,388,0.5870137214660645
list,55,55,100,257,0.40583109855651855
list,55,55,100,306,0.4754369258880615
list,55,55,100,144,0.23104000091552734
list,55,55,100,303,0.49664878845214844
list,55,55,100,207,0.3220641613006592
list,55,55,100,119,0.19086623191833496
list,55,55,100,372,0.565885066986084
list,55,55,100,380,0.5878453254699707
list,55,55,100,520,0.7813241481781006
list,55,55,100,249,0.3912367820739746
list,55,55,100,173,0.27869129180908203
list,55,55,100,121,0.19387078285217285
list,55,55,100,141,0.22708892822265625
list,55,55,100,446,0.6908071041107178
list,55,55,100,195,0.3138439655303955
list,55,55,100,206,0.3348066806793213
list,55,55,100,152,0.2433619499206543
list,55,55,100,155,0.25974130630493164
list,55,55,100,190,0.30998992919921875
list,55,55,100,211,0.33065199851989746
list,55,55,100,402,0.6164290904998779
list,55,55,100,270,0.5367460250854492
list,55,55,100,210,0.3626558780670166
list,55,55,100,176,0.2784578800201416
list,55,55,100,108,0.16981196403503418
list,55,55,100,296,0.4674508571624756
list,55,55,100,126,0.20764613151550293
list,55,55,100,312,0.49788904190063477
list,55,55,100,327,0.5247962474822998
list,55,55,100,490,0.7622289657592773
list,55,55,100,257,0.4026460647583008
list,55,55,100,634,0.9556889533996582
list,55,55,100,278,0.4604148864746094
list,55,55,100,188,0.3366661071777344
list,55,55,100,231,0.37082624435424805
list,55,55,100,505,0.8701560497283936
list,55,55,100,235,0.41135478019714355
list,55,55,100,192,0.34453320503234863
list,55,55,100,186,0.3065330982208252
list,55,55,100,223,0.3647420406341553
list,55,55,100,424,0.6647508144378662
list,55,55,100,147,0.23903894424438477
list,55,55,100,180,0.3171241283416748
list,55,55,100,185,0.3021581172943115
list,55,55,100,141,0.22778916358947754
list,75,75,2,172,0.5847969055175781
list,75,75,2,165,0.514354944229126
list,75,75,2,251,0.7640130519866943
list,75,75,2,323,0.9758090972900391
list,75,75,2,121,0.3697540760040283
list,75,75,2,84,0.25614213943481445
list,75,75,2,158,0.47860097885131836
list,75,75,2,128,0.39077305793762207
list,75,75,2,119,0.3597986698150635
list,75,75,2,395,1.186405897140503
list,75,75,2,148,0.4492490291595459
list,75,75,2,186,0.5673251152038574
list,75,75,2,283,0.8702778816223145
list,75,75,2,257,0.7770378589630127
list,75,75,2,183,0.5639081001281738
list,75,75,2,200,0.6042509078979492
list,75,75,2,212,0.6502008438110352
list,75,75,2,200,0.6043040752410889
list,75,75,2,192,0.5853257179260254
list,75,75,2,135,0.41364192962646484
list,75,75,2,256,0.7818892002105713
list,75,75,2,157,0.4764118194580078
list,75,75,2,274,0.8329310417175293
list,75,75,2,331,0.9850449562072754
list,75,75,2,244,0.7429139614105225
list,75,75,2,242,0.7337579727172852
list,75,75,2,511,1.5279247760772705
list,75,75,2,159,0.4839591979980469
list,75,75,2,146,0.4425637722015381
list,75,75,2,198,0.5949792861938477
list,75,75,2,216,0.7251408100128174
list,75,75,2,295,0.908257007598877
