kind,width,height,depth,num_filled,time
lazy,95,95,10,538,0.0010981559753417969
lazy,95,95,10,711,0.0015499591827392578
lazy,95,95,10,904,0.0020401477813720703
lazy,95,95,10,709,0.0015900135040283203
lazy,95,95,10,1142,0.002505064010620117
lazy,95,95,10,618,0.001271963119506836
lazy,95,95,10,783,0.0017349720001220703
lazy,95,95,10,1051,0.0022690296173095703
lazy,95,95,10,1519,0.003225088119506836
lazy,95,95,100,479,0.0010302066802978516
lazy,95,95,100,758,0.0016329288482666016
lazy,95,95,100,728,0.0015799999237060547
lazy,95,95,100,1307,0.0028841495513916016
lazy,95,95,100,396,0.0008530616760253906
lazy,95,95,100,739,0.0015840530395507812
lazy,95,95,100,751,0.0016481876373291016
lazy,95,95,100,622,0.0013549327850341797
lazy,95,95,100,737,0.0016200542449951172
lazy,95,95,100,785,0.0017151832580566406
lazy,95,95,100,724,0.0015747547149658203
lazy,95,95,100,608,0.0013229846954345703
lazy,95,95,100,1149,0.0024979114532470703
lazy,95,95,100,869,0.001936197280883789
lazy,95,95,100,1094,0.002386331558227539
lazy,95,95,100,522,0.001119852066040039
lazy,95,95,100,1115,0.0024209022521972656
lazy,95,95,100,789,0.001692056655883789
lazy,95,95,100,564,0.0012211799621582031
lazy,95,95,100,1662,0.0036077499389648438
lazy,95,95,100,608,0.0012969970703125
lazy,95,95,100,527,0.0011339187622070312
lazy,95,95,100,351,0.0007610321044921875
lazy,95,95,100,653,0.0014009475708007812
lazy,95,95,100,1449,0.0032138824462890625
lazy,95,95,100,541,0.0011756420135498047
lazy,95,95,100,1531,0.0033309459686279297
lazy,95,95,100,536,0.0011630058288574219
lazy,95,95,100,806,0.0017261505126953125
lazy,95,95,100,1154,0.0024933815002441406
lazy,95,95,100,896,0.001954793930053711
lazy,95,95,100,821,0.0018057823181152344
lazy,95,95,100,347,0.0007359981536865234
lazy,95,95,100,813,0.00177001953125
lazy,95,95,100,531,0.0011332035064697266
lazy,95,95,100,688,0.001483917236328125
lazy,95,95,100,908,0.0019698143005371094
lazy,95,95,100,767,0.0016510486602783203
lazy,95,95,100,1268,0.002737283706665039
lazy,95,95,100,975,0.002106904983520508
lazy,95,95,100,411,0.0008721351623535156
lazy,95,95,100,460,0.0010058879852294922
lazy,95,95,100,740,0.0016100406646728516
lazy,95,95,100,412,0.0009062290191650391
lazy,95,95,100,926,0.0020182132720947266
lazy,95,95,100,960,0.002093791961669922
lazy,95,95,100,1426,0.003116130828857422
lazy,95,95,100,622,0.0013339519500732422
lazy,95,95,100,428,0.0009088516235351562
lazy,95,95,100,620,0.0013339519500732422
lazy,115,115,2,2307,0.07047128677368164
lazy,115,115,2,1692,0.0237119197845459
lazy,115,115,2,1209,0.010635137557983398
lazy,115,115,2,3024,0.11615109443664551
lazy,115,115,2,1897,0.04405617713928223
lazy,115,115,2,1887,0.04216289520263672
lazy,115,115,2,791,0.0030269622802734375
lazy,115,115,2,2213,0.05187392234802246
lazy,115,115,2,3330,0.12691807746887207
lazy,115,115,2,2255,0.07129597663879395
lazy,115,115,2,1164,0.013459920883178711
lazy,115,115,2,1016,0.008137941360473633
lazy,115,115,2,2617,0.07827281951904297
lazy,115,115,2,2222,0.05802321434020996
lazy,115,115,2,2347,0.06176590919494629
lazy,115,115,2,1419,0.016620874404907227
lazy,115,115,2,2793,0.09755611419677734
lazy,115,115,2,2034,0.03402400016784668
lazy,115,115,2,426,0.0019829273223876953
lazy,115,115,2,1361,0.014548063278198242
lazy,115,115,2,1230,0.013011932373046875
lazy,115,115,2,1648,0.02173328399658203
lazy,115,115,2,1017,0.010045051574707031
lazy,115,115,2,1644,0.026472091674804688
lazy,115,115,2,2293,0.06483721733093262
lazy,115,115,2,1707,0.0291440486907959
lazy,115,115,2,2239,0.05659008026123047
lazy,115,115,2,1141,0.010337114334106445
lazy,115,115,2,1353,0.01708388328552246
lazy,115,115,2,871,0.009569883346557617
lazy,115,115,2,1754,0.03150177001953125
lazy,115,115,2,1008,0.007034778594970703
lazy,115,115,2,2343,0.07054400444030762
lazy,115,115,2,950,0.007098674774169922
lazy,115,115,2,1510,0.015250921249389648
lazy,115,115,2,1430,0.022620201110839844
lazy,115,115,2,2102,0.03625607490539551
